Country,Year,Amount,Type
Spain,2013,,Hybrid
Sweden,2013,"1,068,962",Gasoline
Sweden,2013,"1,010",Electric
Sweden,2013,"27,571",Hybrid
Switzerland,2013,"1,038,000",Gasoline
Switzerland,2013,"3,000",Electric
Switzerland,2013,"33,000",Hybrid
Turkey,2013,"2,497,209",Gasoline
Turkey,2013,353,Electric
Turkey,2013,83,Hybrid
United Kingdom,2013,,Gasoline
United Kingdom,2013,,Electric
United Kingdom,2013,,Hybrid
Austria,2014,"2,663,654",Gasoline
Austria,2014,"3,386",Electric
Austria,2014,"11,505",Hybrid
Belgium,2014,"3,460,094",Gasoline
Belgium,2014,"1,792",Electric
Belgium,2014,"21,774",Hybrid
Croatia,2014,"607,000",Gasoline
Croatia,2014,,Electric
Croatia,2014,,Hybrid
Cyprus,2014,"54,870",Gasoline
Cyprus,2014,15,Electric
Cyprus,2014,"2,091",Hybrid
Czechia,2014,"1,631,014",Gasoline
Czechia,2014,417,Electric
Czechia,2014,,Hybrid
Denmark,2014,"686,869",Gasoline
Denmark,2014,"2,919",Electric
Denmark,2014,,Hybrid
Estonia,2014,"222,646",Gasoline
Estonia,2014,"1,067",Electric
Estonia,2014,"1,888",Hybrid
Finland,2014,"746,323",Gasoline
Finland,2014,386,Electric
Finland,2014,,Hybrid
France,2014,"22,551,000",Gasoline
France,2014,"27,000",Electric
France,2014,"137,000",Hybrid
Germany ,2014,"13,861,000",Gasoline
Germany (until 1990 former territory of the FRG),2014,"19,000",Electric
Germany (until 1990 former territory of the FRG),2014,,Hybrid
Hungary,2014,"809,523",Gasoline
Hungary,2014,175,Electric
Hungary,2014,0,Hybrid
Ireland,2014,"827,680",Gasoline
Ireland,2014,560,Electric
Ireland,2014,,Hybrid
Italy,2014,"15,240,069",Gasoline
Italy,2014,"3,430",Electric
Italy,2014,"59,949",Hybrid
Latvia,2014,"305,612",Gasoline
Latvia,2014,188,Electric
Latvia,2014,4,Hybrid
Liechtenstein,2014,"8,430",Gasoline
Liechtenstein,2014,40,Electric
Liechtenstein,2014,280,Hybrid
Lithuania,2014,"721,154",Gasoline
Lithuania,2014,70,Electric
Lithuania,2014,0,Hybrid
Luxembourg,2014,"244,530",Gasoline
Luxembourg,2014,524,Electric
Luxembourg,2014,"2,007",Hybrid
Malta,2014,"81,620",Gasoline
Malta,2014,87,Electric
Malta,2014,347,Hybrid
Netherlands,2014,,Gasoline
Netherlands,2014,,Electric
Netherlands,2014,,Hybrid
North Macedonia,2014,"145,065",Gasoline
North Macedonia,2014,32,Electric
North Macedonia,2014,,Hybrid
Norway,2014,"1,187,000",Gasoline
Norway,2014,"39,000",Electric
Norway,2014,,Hybrid
Poland,2014,"5,675,734",Gasoline
Poland,2014,"4,218",Electric
Poland,2014,,Hybrid
Portugal,2014,"2,367,935",Gasoline
Portugal,2014,672,Electric
Portugal,2014,"11,623",Hybrid
Romania,2014,"1,742,000",Gasoline
Romania,2014,"3,000",Electric
Romania,2014,,Hybrid
Slovenia,2014,"450,390",Gasoline
Slovenia,2014,130,Electric
Slovenia,2014,,Hybrid
Spain,2014,"12,303,075",Gasoline
Spain,2014,"2,832",Electric
Spain,2014,"54,362",Hybrid
Sweden,2014,"1,226,068",Gasoline
Sweden,2014,"2,172",Electric
Sweden,2014,"33,904",Hybrid
Switzerland,2014,"1,126,000",Gasoline
Switzerland,2014,"4,000",Electric
Switzerland,2014,"39,000",Hybrid
Turkey,2014,"2,882,886",Gasoline
Turkey,2014,412,Electric
Turkey,2014,112,Hybrid
United Kingdom,2014,,Gasoline
United Kingdom,2014,,Electric
United Kingdom,2014,,Hybrid
Austria,2015,"2,703,999",Gasoline
Austria,2015,"5,032",Electric
Austria,2015,"13,327",Hybrid
Belgium,2015,"3,460,776",Gasoline
Belgium,2015,"2,871",Electric
Belgium,2015,"28,901",Hybrid
Croatia,2015,"650,007",Gasoline
Croatia,2015,163,Electric
Croatia,2015,,Hybrid
Cyprus,2015,"60,592",Gasoline
Cyprus,2015,23,Electric
Cyprus,2015,"2,421",Hybrid
Czechia,2015,"1,807,953",Gasoline
Czechia,2015,713,Electric
Czechia,2015,,Hybrid
Denmark,2015,"715,628",Gasoline
Denmark,2015,"7,888",Electric
Denmark,2015,,Hybrid
Estonia,2015,"241,054",Gasoline
Estonia,2015,"1,116",Electric
Estonia,2015,"2,409",Hybrid
Finland,2015,"783,760",Gasoline
Finland,2015,657,Electric
Finland,2015,"10,317",Hybrid
France,2015,"22,548,000",Gasoline
France,2015,"43,000",Electric
France,2015,"177,000",Hybrid
Germany ,2015,"14,532,000",Gasoline
Germany (until 1990 former territory of the FRG),2015,"26,000",Electric
Germany (until 1990 former territory of the FRG),2015,,Hybrid
Hungary,2015,"888,874",Gasoline
Hungary,2015,342,Electric
Hungary,2015,0,Hybrid
Ireland,2015,"917,690",Gasoline
Ireland,2015,"1,120",Electric
Ireland,2015,,Hybrid
Italy,2015,"15,669,276",Gasoline
Italy,2015,"4,584",Electric
Italy,2015,"82,381",Hybrid
Latvia,2015,"337,453",Gasoline
Latvia,2015,211,Electric
Latvia,2015,12,Hybrid
Liechtenstein,2015,"8,896",Gasoline
Liechtenstein,2015,62,Electric
Liechtenstein,2015,332,Hybrid
Lithuania,2015,"783,606",Gasoline
Lithuania,2015,169,Electric
Lithuania,2015,0,Hybrid
Luxembourg,2015,"248,770",Gasoline
Luxembourg,2015,580,Electric
Luxembourg,2015,"2,266",Hybrid
Malta,2015,"85,178",Gasoline
Malta,2015,136,Electric
Malta,2015,423,Hybrid
Netherlands,2015,,Gasoline
Netherlands,2015,,Electric
Netherlands,2015,,Hybrid
North Macedonia,2015,"163,038",Gasoline
North Macedonia,2015,33,Electric
North Macedonia,2015,,Hybrid
Norway,2015,"1,244,000",Gasoline
Norway,2015,"69,000",Electric
Norway,2015,,Hybrid
Poland,2015,"6,090,488",Gasoline
Poland,2015,"7,765",Electric
Poland,2015,"326,977",Hybrid
Portugal,2015,"2,475,505",Gasoline
Portugal,2015,"1,398",Electric
Portugal,2015,"13,163",Hybrid
Romania,2015,"1,906,000",Gasoline
Romania,2015,"4,000",Electric
Romania,2015,,Hybrid
Slovenia,2015,"473,670",Gasoline
Slovenia,2015,290,Electric
Slovenia,2015,,Hybrid
Spain,2015,"12,645,648",Gasoline
Spain,2015,"5,243",Electric
Spain,2015,"60,911",Hybrid
Sweden,2015,"1,383,982",Gasoline
Sweden,2015,"4,765",Electric
Sweden,2015,"41,640",Hybrid
Switzerland,2015,"1,217,000",Gasoline
Switzerland,2015,"8,000",Electric
Switzerland,2015,"45,000",Hybrid
Turkey,2015,"3,346,024",Gasoline
Turkey,2015,565,Electric
Turkey,2015,251,Hybrid
United Kingdom,2015,"1,438,382",Gasoline
United Kingdom,2015,"24,683",Electric
United Kingdom,2015,"235,554",Hybrid
Austria,2016,"2,750,383",Gasoline
Austria,2016,"9,073",Electric
Austria,2016,"16,531",Hybrid
Belgium,2016,"3,429,222",Gasoline
Belgium,2016,"4,368",Electric
Belgium,2016,"39,734",Hybrid
Croatia,2016,"711,886",Gasoline
Croatia,2016,233,Electric
Croatia,2016,,Hybrid
Cyprus,2016,"70,264",Gasoline
Cyprus,2016,40,Electric
Cyprus,2016,"3,122",Hybrid
Czechia,2016,"1,954,086",Gasoline
Czechia,2016,974,Electric
Czechia,2016,,Hybrid
Denmark,2016,"754,054",Gasoline
Denmark,2016,"8,662",Electric
Denmark,2016,,Hybrid
Estonia,2016,"258,436",Gasoline
Estonia,2016,"1,156",Electric
Estonia,2016,"3,379",Hybrid
Finland,2016,"828,194",Gasoline
Finland,2016,889,Electric
Finland,2016,"15,354",Hybrid
